source,pmid_number,reviewer_1_2,reviewer_2_3,pdf_in_folder,link_to_paper,authors,title,journal,issue_number_page_numbers,link_to_paper_2,reviewer_1_11,reviewer_2_12,data_available,sample_description,sample_size,clustering,clustering_dealt_with,exposure_s,mediator_s,outcome_s,exposure_randomized,name_of_mediation_method,citation_for_mediation_method,causal_mediation_yes_no,if_causal_which_estimand_1_controlled_direct_and_indirect_2_natural_direct_and_indirect_effects_or_3_stochastic_randomized_interventional_direct_and_indirect_effects,effects_of_interst_nie_nde_etc,if_baron_kenny_examine_whether_no_interaction_b_w_tx_and_mediator_on_outcome,if_b_k_examine_linear_relationship_b_w_mediator_and_outcome,covariates_in_exposure_mediator_model,covariates_in_mediator_outcome_model,covariates_in_exposure_outcome_model,any_justification_for_covariates,baseline_value_of_mediator_adjusted_for,baseline_value_of_outcome_adjusted_for,temporal_ordering_of_exposure_before_mediator_yes_no,temporal_ordering_of_mediator_before_outcome_yes_no,discussion_of_mediation_assumptions_yes_no,sensitivity_analyes_to_assumptions_yes_no,does_model_control_for_other_post_exposure_variables_yes_no,reviewer,reviewer_1,reviewer_2,x40
5,23002955,Ian,Trang,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=cdbc2a72-7db5-4129-a6ff-500c3a061d0d%40pdc-v-sessmgr01&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2012-25675-001&db=pdh,"Vorauer JD, Sucharyna TA",Potential negative effects of perspective-taking efforts in the context of close relationships: increased bias and reduced satisfaction,Journal of Personality and Social Psychology,"104, 1, 70-86",NA,NA,NA,No,Introductory psychology students who reported being in an exclusive romantic relationship,111,No,NA,"For analyses 1, 3, 4, 6-8: ""Imagine-other"" perspective taking;
For analyses 2 and 5: ""Objective"" perspective taking;
For analysis 9: Perceived transparency;
For analysis 10: Discrepant experience","For analyses 1 and 2: References to the self as an object;
For analysis 3: Self-other merging;
For analyses 4 and 5: Perceived transparency of negative feelings;
For analyses 6 and 9: Discrepant experience;
For analysis 7: Partner's enjoyment;
For analysis 8: Discrepant experience and Perceived transparency of negative feelings;
For analysis 10: Perceived transparency","For analyses 1-3: Percieved transparency;
For analyses 4-10: Satisfaction","For analyses 1-8: Yes;
For analyses 9 and 10: No",Nonparametric bootstrapping of traditional path effects,"SPSS sobel macro, Preacher and Hayes 2004",No,NA,Indirect,No,No,"Other categories of the categorical exposure variable, sex, subjective closeness index","Other categories of the categorical exposure variable, sex, subjective closeness index","Other categories of the categorical exposure variable, sex, subjective closeness index","""All remaining predictors were controlled, along with covariates associated with significant or marginal effects""",No,No,"For analyses 1-8: Yes;
For analyses 9 and 10: No","For analyses 1 and 2: Yes;
For analyses 3-10: No",No,No,"Analysis 10 does, but others don't",A,NA,NA,NA
5,23565895,Ian,Jeannie,N,http://eds.a.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=62537298-6229-4923-a78e-6b04d8d76bc8%40sessionmgr4007&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2013-12286-001&db=pdh,"Zerres A, Huffmeier J, Freund P, Backhaus K",Does It Take Two to Tango? Longitudinal Effects of Unilateral and Bilateral Integrative Negotiation Training,Journal of Applied Psychology,"98, 3, 478-91",NA,NA,NA,No,Undergraduate business administration students of a major European university,360,No,NA,Negotiation training,Priority-related information exchange,Negotiation integrativity,Yes,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008,No,NA,Direct and Indirect,No,No,None,None,None,NA,No,No,Yes,No,No,No,No,A,NA,NA,NA
5,24119920,Ian,Trang,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032713006642/pdfft?md5=5a37615d77ad3d1a765fb7f33fb6e016&pid=1-s2.0-S0165032713006642-main.pdf,"Gerrits MM, van Marwijk HW, van Oppen P, van der Horst H, Penninx BW",The role of somatic health problems in the recognition of depressive and anxiety disorders by general practitioners,Journal of Affective Disorders,"151, 3, 1025-32",NA,NA,NA,No,Patients from Netherlands with a depressive and/or anxiety disorder,778,No,NA,"Musculoskeletal chronic disease, endocrine chronic disease, number of chronic diseases, chest pain, chronic pain grade","number of GP contacts, Depression severity (QIDS), Anxiety severity (Fear Questionnaire and Beck Anxiety Inventory)",General Practitioner recognition of depression or anxiety,No,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008,No,NA,Direct and Indirect,No,No,"Age, gender","Age, gender","Age, gender",No,No,No,No,No,"In Discussion, they write that the mediation analysis assumes temporal ordering and that they don't have that",No,No,A,NA,NA,NA
5,25111250,Ian,Trang,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=83394c12-44c3-4ab2-8715-a506a4dcbf27%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2014-32646-001&db=pdh,"Farmer SM, Van Dyne L, Kamdar D",The contextualized self: how team-member exchange leads to coworker identification and helping OCB,Journal of Applied Psychology,"100, 2, 583-95",NA,NA,NA,No,Full-time employees of a large multinational bank in Singapore,236,Yes,Yes,Team-member exchange relations,Identification with coworkers,Helping organizational citizenship behavior,No,Moderated mediation in multilevel models; stacks level 1 data for mediator and outcome so that can be fit using univariate multilevel modeling software,"Bauer, Preacher and Gil 2006",No,NA,Indirect,No,No,Group average team member exchange,Group average team member exchange,Group average team member exchange,Proposed moderator,No,No,No,No,No,No,No,A,NA,NA,NA
5,26407493,Ian,Jeannie,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0890856715004827/pdfft?md5=fbdf3fa9be9a1cf946aa4f4d55b74d6f&pid=1-s2.0-S0890856715004827-main.pdf,"Vulser H, Lemaitre H, Artiges E, et al.",Subthreshold Depression and Regional Brain Volumes in Young Community Adolescents,Journal of the American Academy of Child & Adolescent Psychiatry,"54, 10, 832-40",NA,NA,NA,No,European adolescents,580,No,NA,Subthreshold depression at age 14,Ventromedial Prefrontal/Rostral Anterior Cingulate Cortices Volume,Depression at age 16,No,Nonparametric bootstrap general approach to causal mediation analysis,"Imai, Keele and Tingley 2010",Yes,2,NIE and NDE,NA,NA,"Type of scanner, TIV, age, gender","Type of scanner, TIV, age, gender","Type of scanner, TIV, age, gender","The first three as potential confounders, the last as a proposed moderator",No,No,No,Yes,No,No,No,A,NA,NA,NA
5,26680699,Ian,Adam,Y,https://onlinelibrary-wiley-com.ezp.welch.jhmi.edu/doi/epdf/10.1111/jcpp.12495,"Brody GH, Yu T, Chen E, Beach SR, Miller GE",Family-centered prevention ameliorates the longitudinal association between risky family processes and epigenetic aging,Journal of Child Psychology and Psychiatry,"57, 5, 566-74",NA,NA,NA,No,African-American youths in rural Georgia studied from age 11 to 20,399,No,NA,Strong African American Families (SAAF) program,Harsh parenting,Epigenetic aging,Yes,Nonparametric bootstrap of multigroup structural equation model with latent difference scores,None,No,NA,Indirect,No,No,"Gender, family SES risk, BMI, smoking, unhealthful behaviors, methylation batch, primary caregiver depressive symptoms","Gender, family SES risk, BMI, smoking, unhealthful behaviors, methylation batch, primary caregiver depressive symptoms","Gender, family SES risk, BMI, smoking, unhealthful behaviors, methylation batch, primary caregiver depressive symptoms",Primary caregiver depressive symptoms was a proposed moderator,Yes,No,Yes,Yes,No,No,Unclear,A,NA,NA,NA
5,26888057,Ian,Jeannie,Y,http://www.nature.com.ezp.welch.jhmi.edu/articles/npp201626,"Lavagnino L, Mwangi B, Bauer IE, Cao B, Selvaraj S, Prossin A, Soares JC",Reduced Inhibitory Control Mediates the Relationship Between Cortical Thickness in the Right Superior Frontal Gyrus and Body Mass Index,Neuropsychopharmacology,"41, 9, 2275-82",NA,NA,NA,No,Adults without current axis I diagnosis,91,No,NA,Cortical thickness in the right superior frontal gyrus,Inhibitory control,BMI,No,Nonparametric bootstrapping of traditional path effects,"SPSS PROCESS macro, Hayes 2012",No,NA,Direct and Indirect,No,No,"Word reading reaction time, color naming reaction time, trauma symptom score","Word reading reaction time, color naming reaction time, trauma symptom score","Word reading reaction time, color naming reaction time, trauma symptom score",Confounders,No,No,No,No,They note that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,27124379,Ian,Trang,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=2ab82209-5034-4fca-b311-feb224676013%40sessionmgr120&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2016-21276-001&db=pdh,"Thrash TM, Maruskin LA, Moldovan EG, Oleynick VC",Writer-Reader Contagion of Inspiration and Related States: Conditional Process Analyses Within a Cross-Classified Writer x Reader Framework,Journal of Personality and Social Psychology,"113, 3, 466-91",NA,NA,NA,No,Undergraduates,36020,Yes,Yes,"Writer state (e.g., inspiration, awe)","Poem characteristics (i.e., insightfulness, pleasantness, originality, sublimity) entered simulataneously",Reader state,NA,Bayesian cross-classified extension of multilevel structural equation modeling,"Preacher, Zyphur & Zhang 2010; Yuan & MacKinnon 2009; Mplus; Muthen & Asparouhov 2012",No,NA,Indirect,No,No,No,No,No,NA,No,No,No,Yes,No,No,No,A,NA,NA,NA
5,27176661,Ian,Trang,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5061601/,"Parrish DE, von Sternberg K, Castro Y, Velasquez MM",Processes of Change in Preventing Alcohol Exposed Pregnancy: A Mediation Analysis,Journal of Consulting and Clinical Psychology,"84, 9, 803-12",NA,NA,NA,No,Nontreatmentseeking women of childbearing age,830,No,NA,The CHOICES IPC intervention,"Experiential processes and behavioral processes, specific to outcome; tested both as individual mediator and as sequential mediators",Risky drinking and ineffective contraception (separate and as a combined measure),Yes,SEM,"MODEL INDIRECT command in Mplus, Muthen and Muthen 2012",No,NA,Indirect,No,No,Number of male intercourse partners in last 90 days; score on Alcohol Use Disorder Identification Test,Number of male intercourse partners in last 90 days; score on Alcohol Use Disorder Identification Test,Number of male intercourse partners in last 90 days; score on Alcohol Use Disorder Identification Test; Readiness for Change for Contraception; Processes of Change for Alcohol; Decisional Balance for Alcohol; Temptation for Alcohol,Retained covariates from exposure/outcome model that were related to all dependent variables in the mediation models,No,No,Yes,Yes,"Yes, in terms of Kazdin 2007",No,No,A,NA,NA,NA
5,27566836,Ian,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0022395616301959/pdfft?md5=973e7784f2cdae54106defd5bc21abd2&pid=1-s2.0-S0022395616301959-main.pdf,"Vogt D, Waeldin S, Hellhammer D, Meinlschmidt G",The role of early adversity and recent life stress in depression severity in an outpatient sample,Journal of Psychiatric Research,"83, , 61-70",NA,NA,NA,No,"German outpatients between 18 and 65 diagnosed with at least one of adjustment disorder, major depression, somatoform disorder",473,No,NA,Postnatal stress,Recent life stress,Depression severity,No,Nonparametric bootstrapping of traditional path effects,Hayes 2013,No,NA,Direct and Indirect,No,No,"Education, sex, age, information sources used to answer the NPQ-PSQ, antidepressant medication","Education, sex, age, information sources used to answer the NPQ-PSQ, antidepressant medication","Education, sex, age, information sources used to answer the NPQ-PSQ, antidepressant medication",No,No,No,No,No,No,No,No,A,NA,NA,NA
5,27775415,Ian,Adam,N,http://eds.a.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=8870e08b-e7c9-4286-aa61-76b70f6ef9c2%40sessionmgr4008&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2016-51305-001&db=pdh,"Williamson HC, Karney BR, Bradbury TN",Education and Job-Based Interventions for Unmarried Couples Living With Low Incomes: Benefit or Burden?,Journal of Consulting and Clinical Psychology,"85, 1, 5-12",NA,NA,NA,No,Heterosexual couples who were expecting a baby or had a baby in the previous 3 months,4754,No,NA,Father participated in educational intervention,"Mother relationship satisfaction, father relationship satisfaction, father daily contact with child, mother perception of father's parenting, father financial support of child, father income (simultaneous)",Marriage at 36-month follow-up,No,Nonparametric bootstrapping of traditional path effects,None,No,NA,Indirect,No,No,No,No,No,NA,No,No,Yes,Yes,No,No,No,A,NA,NA,NA
5,27893238,Ian,Trang,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5293666/,"Park IK, Wang L, Williams DR, Alegria M",Does Anger Regulation Mediate the Discrimination-Mental Health Link Among Mexican-Origin Adolescents? A Longitudinal Mediation Analysis Using Multilevel Modeling,Developmental Psychology,"53, 2, 340-52",NA,NA,NA,No,Mexican-origin adolescents,269,Yes,Yes,Perceived racial/ethnic discrimination,"Outward anger expression, anger suppression, anger control",Anxiety and depression,No,Multilevel structural equation modeling,"Maxwell & Cole 2007; Zhang, Zyphur, & Preacher 2009, SAS PROC MIXED",No,NA,Direct and Indirect,No,No,No,No,No,NA,No,No,No,No,No,No,No,A,NA,NA,NA
5,27898373,Ian,Trang,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032716314136/pdfft?md5=940754f2dda8881f1a331de54d61f500&pid=1-s2.0-S0165032716314136-main.pdf,"Hom MA, Chu C, Schneider ME, Lim IC, Hirsch JK, Gutierrez PM, Joiner TE",Thwarted belongingness as an explanatory link between insomnia symptoms and suicidal ideation: Findings from three samples of military service members and veterans,Journal of Affective Disorders,"209, , 114-23",NA,NA,NA,No,Military service members and veterans,1,No,NA,"Studies 1-3, Analysis 1: Insomnia severity
Studies 1-3, Analysis 2: Thwarted belongingness","Studies 1-3, Analysis 1: Thwarted belongingness
Studies 1-3, Analysis 2: Insomnia severity",Suicidal ideation,No,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008,No,NA,Direct and Indirect,No,No,"Study 1: Hopelessness and anxiety sensitivity
Study 2: Perceived burdensomeness
Study 3: Perceived burdensomeness and anxiety symptoms","

Study 1: Hopelessness and anxiety sensitivity
Study 2: Perceived burdensomeness
Study 3: Perceived burdensomeness and anxiety symptoms","Study 1: Hopelessness and anxiety sensitivity
Study 2: Perceived burdensomeness
Study 3: Perceived burdensomeness and anxiety symptoms","Yes, that they have been shown to be confounders",No,No,No,No,They note that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,27920734,Ian,Adam,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5118950/,"Li H, Zou Y, Wang J, Yang X","Role of Stressful Life Events, Avoidant Coping Styles, and Neuroticism in Online Game Addiction among College Students: A Moderated Mediation Model",Frontiers in Psychology,NA,NA,NA,NA,No,College students in Guangzhou,654,No,NA,Stressful life events,Avoidant coping styles,Online game addiction,No,Traditional path effects with moderator,Muller et al. 2005,No,NA,Direct and Indirect,No,Yes,"Gender, college year, neuroticism, interaction between neuroticism and stressful life events","Gender, college year, neuroticism, interaction between neuroticism and stressful life events","Gender, college year, neuroticism, interaction between neuroticism and stressful life events",Nothing about confounding,No,No,No,No,They note that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,27933019,Ian,Trang,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5121247/,"Tibu F, Sheridan MA, McLaughlin KA, Nelson CA, Fox NA, Zeanah CH",Reduced Working Memory Mediates the Link between Early Institutional Rearing and Symptoms of ADHD at 12 Years,Frontiers in Psychology,NA,NA,NA,NA,No,12 year olds from Bucharest,107,No,NA,Exposure to institutional rearing,Working memory,ADHD symptoms,Yes,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008,No,NA,Indirect,No,No,"Birth weight, gender","Birth weight, gender","Birth weight, gender",Nothing about confounding,No,No,Yes,No,Note that mediator and outcome were measured concurrently and that there was possible unmeasured confounding,No,No,A,NA,NA,NA
5,28113121,Ian,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032716323333/pdfft?md5=cf02789a4b7a9b4bafaacbedca1f3511&pid=1-s2.0-S0165032716323333-main.pdf,"Malhi GS, Byrow Y, Outhred T, Das P, Fritz K",Irritability and internalizing symptoms: Modeling the mediating role of emotion regulation,Journal of Affective Disorders,"211, , 144-149",NA,NA,NA,No,Female adolescents,112,No,NA,Irritability,Dysfunctional emotion regulation,Internalizing symptoms,No,Nonparametric bootstrapping of traditional path effects,Schumacker and Lomax 2010; SPSS Amos,No,NA,Direct and Indirect,No,No,No,No,No,NA,No,No,No,No,No,No,No,A,NA,NA,NA
5,28189964,Ian,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032716313271/pdfft?md5=1f461fc9ae39a539cf71bbca899290d6&pid=1-s2.0-S0165032716313271-main.pdf,"Huh HJ, Kim KH, Lee HK, Chae JH",The relationship between childhood trauma and the severity of adulthood depression and anxiety symptoms in a clinical sample: The mediating role of cognitive emotion regulation strategies,Journal of Affective Disorders,"213, , 44-50",NA,NA,NA,No,18-65 year old patients of the Mood and Anxiety Disorders Unit at Seoul St. Mary's Hospital with a primary diagnosis of nonpsychotic depressive disorder,585,No,NA,Childhood abuse and neglect,"*Adaptive cognitive emotion regulation strategies score and Maladaptive cognitive emotion regulation strategies score, examined simultaneously (both with and without other covariates)
*Also disaggregated these scores - into self-blame, rumination, catastrophizing, blaming others, acceptance, positive refocusing, refocus on planning, positive reappraisal, putting into perspective - to examine separately","Anxiety, depression",No,Nonparametric bootstrapping of traditional path effects,SPSS Amos,No,NA,Direct and Indirect,No,Yes,"Age, gender, educational years","Age, gender, educational years","Age, gender, educational years",NA,No,No,No,No,They note that cross-sectional data preclude causal inference and that there was possible unmeasured confounding,No,No,A,NA,NA,NA
5,28287798,Ian,Adam,N,http://eds.a.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=8b53d9d7-0a08-491f-9c4f-469c9fbbae66%40sessionmgr4009&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2017-11100-001&db=pdh,"Schmidt NB, Norr AM, Allan NP, Raines AM",A Randomized Clinical Trial Targeting Anxiety Sensitivity for Patients With Suicidal Ideation,Journal of Consulting and Clinical Psychology,"85, 6, 596-610",NA,NA,NA,No,Individuals experiencing significant anxiety and depression,74,No,NA,Intervention consisting of computerized cognitive anxiety sensitivity treatment and cognitive bias modification,Anxiety sensitivity,"Anxiety, depression, suicidal ideation",Yes,"Unclear; nonparametric bootstrapping, but models unclear","Mplus, Hayes & Scharkow 2013; Preacher and Hayes 2008",No,NA,Direct and Indirect,No,No,None,None,None,NA,No,Yes,Yes,Yes,No,No,No,A,NA,NA,NA
5,28288403,Ian,Jeannie,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032716318043/pdfft?md5=3fb010d59dbf11d64049a72c853bf54e&pid=1-s2.0-S0165032716318043-main.pdf,"McKinney JM, Hirsch JK, Britton PC",PTSD symptoms and suicide risk in veterans: Serial indirect effects via depression and anger,Journal of Affective Disorders,"214, , 100-107",NA,NA,NA,No,Veterans,545,No,NA,PTSD symptoms,"Depressive symptoms and anger (Model 1);
Depressive symptoms and internal hostility (Model 2)",Suicide risk,No,Nonparametric bootstrapping of path effects with serial mediators,Hayes 2013,No,NA,"Direct effect, total indirect effect and specific indirect effects",No,No,"Age, sex, ethnicity, branch of service, era of service, VHA usage","Age, sex, ethnicity, branch of service, era of service, VHA usage","Age, sex, ethnicity, branch of service, era of service, VHA usage",NA,No,No,No,No,They note that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,28377740,Ian,Adam,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5359245/,"Vuoskoski JK, Eerola T",The Pleasure Evoked by Sad Music Is Mediated by Feelings of Being Moved,Frontiers in Psychology,NA,NA,NA,NA,No,"People with internet access (Study 1);
University music students from Finland (Study 2)",308,Yes,Yes,"Sadness felt from music (Study 1)
Perceived sadness of music (Study 2)","Feelings of being moved (Study 1)
Perceived movingness and Perceived beauty (separate) (Study 2)",Liking rating of music,No,Mediation in multilevel models; stacks level 1 data for mediator and outcome so that can be fit using univariate multilevel modeling software,"Bauer, Preacher and Gil 2006; Preacher and Selig 2010",No,NA,Direct and Indirect,No,No,No,No,No,NA,No,No,No,No,No,No,No,A,NA,NA,NA
5,28410477,Ian,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032717300083/pdfft?md5=4b8d54708166558834f2647aa97534ef&pid=1-s2.0-S0165032717300083-main.pdf,"Poole JC, Dobson KS, Pusch D",Anxiety among adults with a history of childhood adversity: Psychological resilience moderates the indirect effect of emotion dysregulation,Journal of Affective Disorders,"217, , 144-152",NA,NA,NA,No,Adult primary care patients in Calgary,2905,No,NA,Adverse childhood experiences (these were also disaggregated into six components and tested separately as exposures in secondary analyses),Emotion dysregulation (these were also disaggregated into six components and tested separately as mediators in secondary analyses),Anxiety symptoms,No,Nonparametric bootstrapping of traditional path effects with moderator,"Hayes 2013, PROCESS macro",No,NA,Indirect,No,No,"Age, gender, ethnicity, education, income, marital status, employment status, resilience, interaction of ACEs with resilience","Age, gender, ethnicity, education, income, marital status, employment status","Age, gender, ethnicity, education, income, marital status, employment status",Previously shown associations with outcome; resilience investigated as moderator,No,No,No,No,They note that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,28691836,Ian,Jeannie,N,http://eds.b.ebscohost.com.ezp.welch.jhmi.edu/ehost/detail/detail?vid=1&sid=613ddcfd-41de-44a2-a377-7db341a6772e%40sessionmgr104&bdata=JnNpdGU9ZWhvc3QtbGl2ZSZzY29wZT1zaXRl#AN=2017-29685-001&db=pdh,"Van Lissa CJ, Hawk ST, Koot HM, Branje S",The Cost of Empathy: Parent-Adolescent Conflict Predicts Emotion Dysregulation for Highly Empathic Youth,Developmental Psychology,"53, 9, 1722-1737",NA,NA,NA,No,Adolescents in The Netherlands,467,No,NA,Conflict frequency,Mood variability,Dispositional difficulties in emotion regulation,No,"Cross-lagged panel models, bootstrapping of indirect effect",Selig & Little 2012,No,NA,Direct and Indirect,No,No,No,No,No,NA,Yes,Yes,Yes,Yes,No,No,Yes,A,NA,NA,NA
5,28711798,Ian,Adam,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032717309874/pdfft?md5=c3b452bd46c16941dc88c301da0c07fc&pid=1-s2.0-S0165032717309874-main.pdf,Koyanagi A,Psychotic-like experiences and happiness in the English general population,Journal of Affective Disorders,"222, , 211-217",NA,NA,NA,No,Adults living in private households in England,7403,No,NA,Psychotic-like experiences,"Depressive episode, anxiety disorder, insomnia, pain, physical health conditions, disability, social support",Happiness,No,Mediation analysis using logit or probit models,"Breen et al. 2013, Stata khb",No,NA,Direct and Indirect,No,No,"Sex, age, ethnicity, education, income, marital status, stressful life events","Sex, age, ethnicity, education, income, marital status, stressful life events","Sex, age, ethnicity, education, income, marital status, stressful life events",No,No,No,No,No,Notes that cross-sectional data preclude causal inference,No,No,A,NA,NA,NA
5,28824498,Ian,Trang,Y,https://www-ncbi-nlm-nih-gov.ezp.welch.jhmi.edu/pmc/articles/PMC5539245/,Sheikh MA,"Confounding and Statistical Significance of Indirect Effects: Childhood Adversity, Education, Smoking, and Anxious and Depressive Symptomatology",Frontiers in Psychology,NA,NA,NA,NA,No,"Adults living in Tromso, Norway",4530,No,NA,Childhood adversity,Daily smoking,Anxious and depressive symptomatology,No,Nonparametric bootstrapping of traditional path effects,Shrout & Bolger 2002; MacKinnon et al. 2007,No,NA,Direct and Indirect,Yes,No,"Age, gender, living in Norway at age 1 year, history of psychological problems in the mother/father, parental history of heart attack, angina pectoris, cerebral stroke/brain hemorrhage, osteoporosis, stomach/duodenal ulcer, asthma, diabetes, dementia","Education, alcohol intake, social support","Age, gender, living in Norway at age 1 year, history of psychological problems in the mother/father, parental history of heart attack, angina pectoris, cerebral stroke/brain hemorrhage, osteoporosis, stomach/duodenal ulcer, asthma, diabetes, dementia","Yes, that they have been shown to be confounders",No,No,Yes,Yes,Yes,Yes,Yes,A,NA,NA,NA
5,28841489,Ian,Trang,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032717305141/pdfft?md5=ed1550d7612ae5ca13096bacace51e14&pid=1-s2.0-S0165032717305141-main.pdf,"Nigro G, Ciccarelli M, Cosenza M","The illusion of handy wins: Problem gambling, chasing, and affective decision-making",Journal of Affective Disorders,"225, , 256-259",NA,NA,NA,No,Video lottery terminal gambling adults,104,No,NA,"Gambling severity
Affective decision-making",Chasing proneness,"Affective decision-making
Gambling severity",No,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2004; SPSS macro,No,NA,Indirect,No,No,No,No,No,NA,No,No,No,No,No,No,No,A,NA,NA,NA
5,28843081,Ian,Kara,Y,https://www-sciencedirect-com.ezp.welch.jhmi.edu/science/article/pii/S0165032717303154/pdfft?md5=6ad02ec504fd4a0ade270031222304c6&pid=1-s2.0-S0165032717303154-main.pdf,"Hebert M, Langevin R, Oussaid E","Cumulative childhood trauma, emotion regulation, dissociation, and behavior problems in school-aged sexual abuse victims",Journal of Affective Disorders,"225, , 306-312",NA,NA,NA,No,Sexually abused children aged 6-12,309,No,NA,Childhood trauma,"Emotion regulation, dissociation (examined both as separate and ""sequential"" mediators for both outcomes)","Internalized behavior problems, externalized behavior problems",No,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008; Shrout and Bolger 2002; Mplus,No,NA,Indirect,No,No,No,No,No,NA,No,No,No,Yes,No,No,No,A,NA,NA,NA
5,28880726,Ian,Trang,Y,http://journals.sagepub.com.ezp.welch.jhmi.edu/doi/abs/10.1177/0956797617711968,"Pruden SM, Levine SC",Parents' Spatial Language Mediates a Sex Difference in Preschoolers' Spatial-Language Use,Psychological Science,"28, 11, 1583-1596",NA,NA,NA,No,Parent-child dyads from the greater Chicago area,58,No,NA,Child's sex,"*Parent's ""what"" spatial types (i.e., number of unique words describing the size, shape, and spatial properties of spaces and objects)
*Child's ""what"" spatial types (tested with Parent's ""what"" spatial types as outcome)
*Parent's other word types","*Child's ""what"" spatial types
*Parent's ""what"" spatial types (tested with Child's ""what"" spatial types as mediator)",No,Nonparametric bootstrapping of traditional path effects,Preacher and Hayes 2008,No,NA,Indirect,No,No,"Child's other word types, family SES, length of language transcripts, birth order of the child, parent's gender","Child's other word types, family SES, length of language transcripts, birth order of the child, parent's gender","Child's other word types, family SES, length of language transcripts, birth order of the child, parent's gender",No,No,No,Yes,"Did two analyses for each mediator except Child's ""what"" spatial types; one without temporal ordering, one with",Yes,No,No,A,NA,NA,NA
