PMID,Title of the Study,Mediation Method Used,Randomized Exposure,Causal Mediation,Examined Mediator-Outcome Linearity,Examined Exposure-Mediator Interaction,Covariates in Exposure-Mediator Model,Covariates in Exposure-Outcome Model,Covariates in Mediator-Outcome Model,Control for Baseline Mediator,Control for Baseline Outcome,Temporal Ordering Exposure Before Mediator,Temporal Ordering Mediator Before Outcome,Discussed Mediator Assumptions,Sensitivity Analysis to Assumption,Control for Other Post-Exposure Variables
27341422,Mechanisms of behavioral activation for late adolescents: Positive reinforcement mediate the relationship between activation and depressive symptoms from pre-treatment to post-treatment,Bootstrapping method,0 ## The study did not mention randomizing the exposure; it was an intervention study with pre- and post-treatment assessments.,1 ## The study conducted a mediation analysis to examine if positive reinforcement mediated the relationship between activation and depressive symptoms.,0 ## The study did not explicitly discuss or test the linearity of the mediator-outcome relationship.,0 ## There was no mention of testing for interaction between exposure and mediator.,0 ## The study did not mention including covariates in the exposure-mediator model.,0 ## The study did not mention including covariates in the exposure-outcome model.,0 ## The study did not mention including covariates in the mediator-outcome model.,0 ## The study did not mention controlling for baseline levels of the mediator.,"1 ## The study compared pre- and post-treatment depressive symptoms, indicating control for baseline outcome.",1 ## The intervention (exposure) was conducted before measuring changes in reinforcement (mediator).,1 ## Changes in reinforcement (mediator) were assessed before changes in depressive symptoms (outcome).,0 ## The study did not discuss assumptions related to the mediation analysis.,0 ## There was no mention of conducting a sensitivity analysis to test assumptions.,0 ## The study did not mention controlling for other post-exposure variables.
28691836,The Cost of Empathy: Parent-Adolescent Conflict Predicts Emotion Dysregulation for Highly Empathic Youth,Moderated mediation analysis,"0 ## The study is observational and uses a longitudinal design, not a randomized controlled trial.","1 ## The study uses moderated mediation analysis to explore the causal pathways between conflict, empathy, and emotion dysregulation.",0 ## The article does not explicitly discuss the linearity of the mediator-outcome relationship.,1 ## The study examines how empathy moderates the relationship between conflict (exposure) and emotion dysregulation (mediator).,0 ## The article does not mention specific covariates used in the exposure-mediator model.,0 ## The article does not mention specific covariates used in the exposure-outcome model.,0 ## The article does not mention specific covariates used in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,1 ## The study design implies that conflict (exposure) occurs before emotion dysregulation (mediator) is assessed.,1 ## The study design implies that emotion dysregulation (mediator) is assessed before the outcome of interest.,0 ## The article does not explicitly discuss assumptions related to the mediator.,0 ## The article does not mention conducting a sensitivity analysis to test assumptions.,0 ## The article does not mention controlling for other post-exposure variables.
29941294,Psychiatric disability as mediator of the neurocognition-functioning link in schizophrenia spectrum disorders: SEM analysis using the Evaluation of Cognitive Processes involved in Disability in Schizophrenia (ECPDS) scale,Structural Equation Modeling (SEM),0 ## The study did not mention any randomization of exposure; it was observational in nature.,"1 ## The study aimed to investigate mediation effects using SEM, which is a method for causal mediation analysis.",0 ## The article did not explicitly discuss testing for linearity between mediator and outcome.,0 ## There was no mention of testing for interaction between exposure and mediator.,1 ## The study controlled for premorbid intelligence quotient (fNART) in the SEM model.,1 ## The study controlled for premorbid intelligence quotient (fNART) in the SEM model.,1 ## The study controlled for premorbid intelligence quotient (fNART) in the SEM model.,0 ## The study did not mention controlling for baseline mediator values.,0 ## The study did not mention controlling for baseline outcome values.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,"1 ## The study discussed assumptions related to the mediation model, such as the role of psychiatric disability as a mediator.",0 ## The study did not mention conducting sensitivity analyses to test assumptions.,0 ## The study did not mention controlling for other post-exposure variables.
25217757,Future Disposition and Suicidal Ideation: Mediation by Depressive Symptom Clusters,Bootstrapping,"0 ## The study used a cross-sectional design with undergraduate students, not a randomized controlled trial.","0 ## The study is cross-sectional, which limits causal inference; it only suggests potential mediation pathways.",0 ## The article does not explicitly discuss testing for linearity between mediators and outcomes.,0 ## There is no mention of testing for interaction effects between exposure and mediators.,1 ## The study controlled for sociodemographic covariates in the mediation models.,1 ## Sociodemographic covariates were included in the models examining the relationship between future disposition and suicidal ideation.,1 ## The models included sociodemographic covariates when examining the relationship between depressive symptom clusters and suicidal ideation.,0 ## The study did not control for baseline levels of mediators as it was cross-sectional.,0 ## The study did not control for baseline levels of the outcome due to its cross-sectional nature.,0 ## The cross-sectional design does not allow for establishing temporal order between exposure and mediator.,0 ## The cross-sectional design does not allow for establishing temporal order between mediator and outcome.,0 ## The article does not explicitly discuss assumptions underlying the mediation analysis.,0 ## There is no mention of sensitivity analysis to test the robustness of mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
27199857,"Comparing the Effectiveness of Individual Coaching, Self-Coaching, and Group Training: How Leadership Makes the Difference",PROCESS,1 ## The study used a randomized controlled design to assign participants to different intervention groups.,1 ## The study performed mediation analysis to examine how leadership behaviors influenced coaching outcomes.,0 ## The article does not explicitly discuss the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## The study does not mention including covariates in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,0 ## There is no indication that baseline mediator levels were controlled for.,1 ## The study assessed changes in goal attainment and procrastination from baseline to post-treatment.,1 ## The study design implies that the intervention (exposure) occurred before measuring mediators.,"1 ## Mediators were measured during the intervention, before the outcome assessment.",0 ## The article does not explicitly discuss assumptions related to mediation analysis.,0 ## There is no mention of conducting sensitivity analysis for mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
23477378,Toward a Culture-by-Context Perspective on Negotiation: Negotiating Teams in the United States and Taiwan,Moderated-mediation analysis,1 ## Participants were randomly assigned to roles and to negotiate as solos or in teams.,1 ## The study used a moderated-mediation analysis to investigate the mechanism by which culture and context interact to affect negotiation outcomes.,0 ## The article does not explicitly discuss examining the linearity between the mediator (harmony norms) and the outcome (Pareto efficiency).,1 ## The study examined how the interaction between culture and context (team vs. solo) affects harmony norms.,0 ## The article does not mention any covariates used in the model examining the relationship between exposure and mediator.,0 ## The article does not mention any covariates used in the model examining the relationship between exposure and outcome.,0 ## The article does not mention any covariates used in the model examining the relationship between mediator and outcome.,0 ## There is no mention of controlling for baseline levels of the mediator (harmony norms).,0 ## There is no mention of controlling for baseline levels of the outcome (Pareto efficiency).,1 ## The study design implies that the exposure (team vs. solo) occurs before measuring the mediator (harmony norms).,1 ## The mediator (harmony norms) is measured before the outcome (Pareto efficiency) is assessed.,0 ## The article does not explicitly discuss assumptions related to the mediator.,0 ## There is no mention of conducting a sensitivity analysis to test assumptions.,0 ## The article does not mention controlling for other post-exposure variables.
24183487,Attention-deficit hyperactivity disorder and suicidality in a treatment naïve sample of children and adolescents,Multiple mediation analysis,"0 ## The study was cross-sectional and observational, not randomized.",0 ## The study explicitly states that it is cross-sectional and does not establish causal relationships.,0 ## The article does not mention examining the linearity of the mediator-outcome relationship.,"1 ## The study mentions that the mediation model was moderated by age, indicating an examination of interaction.",0 ## The article does not specify covariates in the exposure-mediator model.,1 ## Age and gender were included as covariates in the analysis.,1 ## Age and gender were included as covariates in the analysis.,0 ## There is no mention of controlling for baseline mediator levels.,0 ## There is no mention of controlling for baseline outcome levels.,0 ## The cross-sectional design does not allow for establishing temporal order.,0 ## The cross-sectional design does not allow for establishing temporal order.,0 ## The article does not discuss assumptions related to mediation analysis.,0 ## There is no mention of sensitivity analysis to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
26822489,Prefrontal White Matter Structure Mediates the Influence of GAD1 on Working Memory,Voxel-wise mediation analysis,"0 ## The study did not involve randomization of the GAD1 genotype, as it is a naturally occurring genetic variation.","1 ## The study used voxel-wise mediation analysis to infer a causal relationship between GAD1 genotype, white matter FA, and working memory performance.",0 ## The article does not explicitly mention examining the linearity between the mediator (white matter FA) and the outcome (working memory performance).,0 ## There is no mention of testing for interaction effects between the GAD1 genotype and white matter FA.,"1 ## Age, sex, and diagnosis were included as covariates in the analysis of the relationship between GAD1 genotype and white matter FA.",1 ## Age and IQ were included as covariates in the analysis of the relationship between GAD1 genotype and working memory performance.,1 ## Age was included as a covariate in the analysis of the relationship between white matter FA and working memory performance.,"0 ## The study did not control for baseline levels of the mediator, as it focused on genetic variation and its effects.","0 ## The study did not control for baseline working memory performance, as it was not a longitudinal study.",1 ## The genetic variation (GAD1 genotype) is inherently prior to the measurement of white matter FA.,1 ## The study design implies that white matter FA is measured before assessing working memory performance.,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting a sensitivity analysis to test the robustness of,
23880495,Family Intervention for Adolescents With Suicidal Behavior: A Randomized Controlled Trial and Mediation Analysis,Baron and Kenny models of regression,"1 ## The study used a randomized controlled trial design, where participants were randomly allocated to either the RAP-P plus Routine Care group or the Routine Care only group.",1 ## The study tested a mediational model to determine if changes in adolescent suicidality were mediated by changes in family functioning.,0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of examining interactions between exposure and mediator in the mediation analysis.,0 ## The article does not specify the inclusion of covariates in the exposure-mediator model.,0 ## The article does not mention the use of covariates in the exposure-outcome model.,0 ## The article does not discuss the inclusion of covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,1 ## The intervention (exposure) was implemented before assessing changes in family functioning (mediator).,1 ## Changes in family functioning (mediator) were assessed before changes in adolescent suicidality (outcome).,0 ## The article does not explicitly discuss assumptions related to the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test assumptions in the mediation analysis.,0 ## The study does not mention controlling for other post-exposure variables.
24772098,"Predicting first-grade mathematics achievement: the contributions of domain-general cognitive abilities, nonverbal number sense, and early number competence",Structural Equation Modeling (SEM) and mediation analyses,"0 ## The study is observational and longitudinal, not a randomized controlled trial.",1 ## The study uses mediation analysis to explore causal pathways between cognitive abilities and math achievement.,0 ## The article does not explicitly discuss testing for linearity between the mediator and outcome.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,1 ## The study controls for various cognitive abilities when examining the relationship between predictors and early number competence.,1 ## The study controls for early number competence when examining the relationship between predictors and first-grade math outcomes.,1 ## The study includes early number competence as a mediator in the model predicting math outcomes.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,1 ## The study measures cognitive abilities in kindergarten before assessing early number competence.,"1 ## Early number competence is assessed in kindergarten, and math outcomes are measured in first grade.",0 ## The article does not explicitly discuss assumptions related to mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
26300795,Observing the restriction of another person: vicarious reactance and the role of self-construal and culture,PROCESS,"1 ## Participants were randomly assigned to different experimental conditions, such as self-restricted, vicarious in-group, and vicarious out-group conditions.",1 ## The study conducted mediation analysis to explore whether self-construal differences mediated the relationship between cultural background and behavioral intentions.,0 ## The article does not explicitly discuss examining the linearity between the mediator and the outcome.,1 ## The study examined the interaction between restriction conditions and self-construal as part of the mediation analysis.,0 ## The article does not mention any covariates being included in the exposure-mediator model.,0 ## There is no mention of covariates being included in the exposure-outcome model.,0 ## The study does not discuss including covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## There is no indication that the study controlled for baseline levels of the outcome.,1 ## The study design implies that the exposure (restriction condition) precedes the measurement of the mediator (self-construal).,1 ## The mediator (self-construal) is assessed before measuring the outcome (behavioral intentions).,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
28287800,How Does Brief Motivational Intervention Change Heavy Drinking and Harm Among Underage Young Adult Drinkers?,Temporally lagged mediation models,1 ## The study used a randomized controlled trial design to compare the efficacy of a brief motivational intervention (MI) with a control condition.,"1 ## The study explicitly tested mediating processes to explain the therapeutic benefit of the motivational interview, indicating a focus on causal mediation.",0 ## The article does not mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator in the study.,0 ## The article does not specify the inclusion of covariates in the exposure-mediator model.,1 ## The study mentions covarying baseline values of each mediator and the outcome variable in the multiple mediation models.,1 ## The study controlled for baseline values of mediators and outcomes in the mediation analysis.,1 ## The study controlled for baseline values of mediators in the analysis.,1 ## The study controlled for baseline values of outcomes in the analysis.,1 ## The study design ensured that the intervention (exposure) occurred before measuring changes in mediators.,"1 ## The study measured mediators before assessing outcomes at follow-up, ensuring temporal ordering.",0 ## The article does not explicitly discuss assumptions related to the mediators.,0 ## There is no mention of conducting sensitivity analyses to test assumptions in the mediation analysis.,0 ## The study does not mention controlling for other post-exposure variables.
27992853,CLOCK gene variants associated with the discrepancy between subjective and objective severity in bipolar depression,Bootstrap method,"0 ## The study did not involve randomization; it was observational, examining genetic variants in patients with bipolar disorder.",1 ## The study conducted a mediation analysis to explore the causal pathway between the CLOCK gene variant and the BDI-HDRS discrepancy through cognitive distortions.,0 ## The article does not explicitly mention testing for linearity between the mediator and the outcome.,0 ## There is no mention of testing for interaction effects between the exposure and the mediator.,0 ## The study does not mention including covariates in the model examining the relationship between the exposure and the mediator.,0 ## The study does not mention including covariates in the model examining the relationship between the exposure and the outcome.,0 ## The study does not mention including covariates in the model examining the relationship between the mediator and the outcome.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,1 ## The genetic variant (exposure) is inherently prior to the cognitive distortions (mediator) as it is a fixed genetic trait.,1 ## The study implies that cognitive distortions (mediator) influence the BDI-HDRS discrepancy (outcome).,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting a sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables that could influence the mediator or outcome.
26001667,Role of depression severity and impulsivity in the relationship between hopelessness and suicidal ideation in patients with major depressive disorder,PROCESS macro for SPSS,"0 ## The study did not involve randomization; it was observational, examining existing relationships among variables in patients with major depressive disorder.","1 ## The study aimed to identify causal pathways, specifically examining depression severity as a mediator between hopelessness and suicidal ideation.",0 ## The article does not explicitly mention testing for linearity between the mediator (depression severity) and the outcome (suicidal ideation).,0 ## The study did not test for interaction effects between the exposure (hopelessness) and the mediator (depression severity).,0 ## The article does not mention including covariates in the model examining the relationship between hopelessness and depression severity.,"1 ## The study controlled for gender, age, and illness duration in the analysis of the relationship between hopelessness and suicidal ideation.","1 ## The study controlled for gender, age, and illness duration in the analysis of the relationship between depression severity and suicidal ideation.","0 ## The study did not control for baseline levels of the mediator, depression severity, as it was not a longitudinal study.","0 ## The study did not control for baseline levels of the outcome, suicidal ideation, as it was not a longitudinal study.","0 ## The study did not establish temporal ordering, as it was cross-sectional and did not measure changes over time.","0 ## The study did not establish temporal ordering, as it was cross-sectional and did not measure changes over time.",0 ## The article does not explicitly discuss assumptions related to the mediation analysis.,0 ## The study does not mention conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The
25566019,BDNF mediates improvements in executive function following a 1-year exercise intervention,PROCESS macro by Hayes,1 ## The study involved a randomized exercise intervention where participants were assigned to either a walking exercise group or a stretching-toning control group.,"1 ## The study explicitly examined whether changes in serum BDNF mediated the effect of exercise on task-switch performance, indicating a causal mediation analysis.",0 ## The article does not explicitly discuss the linearity assumption between the mediator (BDNF) and the outcome (task-switch performance).,"1 ## The study examined whether age moderated the effect of exercise group on changes in serum BDNF, indicating an exposure-mediator interaction.",1 ## The model included covariates such as gender and BDNF genotype when examining the effect of exercise on serum BDNF.,"1 ## The analysis adjusted for covariates like gender, education, baseline serum BDNF, and BDNF genotype in the exposure-outcome model.",0 ## The article does not explicitly mention covariates in the mediator-outcome model.,1 ## The study controlled for baseline serum BDNF levels in the analysis.,1 ## Baseline task-switch performance was used as a covariate in the regression model.,1 ## The exercise intervention (exposure) occurred before the measurement of changes in serum BDNF (mediator).,1 ## Changes in serum BDNF were measured before assessing the task-switch performance (outcome).,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of a sensitivity analysis to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables that could affect the mediator or outcome
23527848,"Diversity Policy, Social Dominance, and Intergroup Relations: Predicting Prejudice in Changing Social and Political Contexts",Structural Equation Modeling,0 ## The study did not randomize exposure to diversity policies; it used existing national policies as a natural experiment.,"1 ## The study used structural equation modeling to test mediation hypotheses, suggesting a causal mediation analysis.",0 ## The article does not explicitly discuss testing for linearity in the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,0 ## The study does not specify the use of covariates in the exposure-mediator model.,1 ## Age and sex were controlled for in the analysis of covariance on prejudice.,0 ## The study does not mention controlling for covariates in the mediator-outcome model.,0 ## There is no indication that baseline mediator levels were controlled for.,0 ## The study does not mention controlling for baseline outcome levels.,1 ## The study assumes that national diversity policies (exposure) influence perceived norms and personal attitudes (mediators).,1 ## The study assumes that perceived norms and personal attitudes (mediators) influence prejudice (outcome).,0 ## The article does not explicitly discuss assumptions related to the mediators.,0 ## There is no mention of conducting sensitivity analyses to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
28880726,Parents' Spatial Language Mediates a Sex Difference in Preschoolers' Spatial Language Use,Not mentioned,"0 ## The study used a longitudinal observational design, not a randomized controlled trial.",1 ## The study conducted mediation analyses to explore whether parents' spatial language mediated the relationship between children's sex and their spatial language use.,0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure (children's sex) and the mediator (parents' spatial language).,"1 ## The study controlled for covariates such as family SES, time of language recording, birth order, and parents' gender in the mediation analyses.","1 ## The study controlled for covariates like family SES, time of language recording, birth order, and parents' gender in the analyses of children's spatial language production.","1 ## The study controlled for covariates such as family SES, time of language recording, birth order, and parents' gender in the mediation analyses.",0 ## The study did not control for baseline levels of the mediator (parents' spatial language) as it focused on cumulative measures.,0 ## The study did not control for baseline levels of the outcome (children's spatial language) as it focused on cumulative measures.,"1 ## The study design ensured that parents' spatial language (mediator) was measured before the children's spatial language (outcome), supporting temporal ordering.","1 ## The study design ensured that parents' spatial language (mediator) was measured before the children's spatial language (outcome), supporting temporal ordering.",0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## The article does not mention conducting sensitivity analyses to test the robustness of the mediation assumptions.,
27337705,"Social relationships, loneliness, and mental health among older men and women in Ireland: A prospective community-based study",khb (Karlson Holm Breen) method,"0 ## The study used observational data from the Irish Longitudinal Study on Ageing (TILDA), not a randomized controlled trial.",1 ## The study conducted mediation analyses to assess the role of loneliness as a mediator between social relationships and mental health outcomes.,0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction between exposure and mediator in the mediation analysis.,0 ## The article does not specify covariates in the exposure-mediator model.,"1 ## The study adjusted for several covariates, including age, education, place of residence, financial strain, chronic medical conditions, stressful life events, problem drinking, and baseline depressive symptoms.","1 ## The mediation analysis controlled for covariates such as age, education, place of residence, financial strain, chronic medical conditions, stressful life events, problem drinking, and baseline loneliness.",1 ## The study adjusted for baseline loneliness in the mediation analysis.,1 ## The study controlled for baseline depressive and anxiety symptoms in the analysis.,"1 ## The study design involved measuring social relationships at baseline and loneliness at follow-up, establishing temporal order.","1 ## Loneliness was measured at Wave 2, and mental health outcomes were assessed at the same wave, allowing for temporal ordering.",0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables beyond those specified.
27994568,The Impact of Self-Narratives of Motherhood for Mothers of Children with Autism,Not mentioned,"1 ## The study involved a randomized assignment of mothers to one of three experimental conditions: narrative, placebo, and no-task.",1 ## The study conducted mediation analyses to examine if the effect of the intervention on well-being outcomes was mediated by changes in the perceived meaning of life.,0 ## The article does not explicitly mention examining the linearity between the mediator and the outcome.,0 ## There is no mention of testing for interaction effects between the exposure and the mediator.,0 ## The article does not mention including covariates in the exposure-mediator model.,0 ## The article does not mention including covariates in the exposure-outcome model.,0 ## The article does not mention including covariates in the mediator-outcome model.,0 ## The study did not measure the mediator at baseline before the intervention.,0 ## The study did not measure the outcome at baseline before the intervention.,1 ## The intervention (narrative writing) occurred before the measurement of the mediator (meaning of life).,1 ## The mediator (meaning of life) was measured before the outcome variables in the analysis.,0 ## The article does not discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
28410477,Anxiety among adults with a history of childhood adversity: Psychological resilience moderates the indirect effect of emotion dysregulation,Moderated mediation analysis,"0 ## The study used a cross-sectional design with self-reported data, not a randomized controlled trial.","0 ## The study used cross-sectional data, which limits causal inference; it did not establish causality between variables.","1 ## The study used hierarchical linear regression and moderated mediation models, which assume linear relationships.",1 ## The study specifically tested for interaction effects between ACEs and psychological resilience on emotion dysregulation.,"1 ## The study included covariates such as age, gender, ethnicity, education, income, marital status, and employment status.",1 ## The same covariates were included in the model examining the relationship between ACEs and anxiety symptoms.,1 ## The study controlled for the same set of covariates in the mediator-outcome relationship.,"0 ## The study did not control for baseline levels of emotion dysregulation, as it was cross-sectional.","0 ## The study did not control for baseline anxiety symptoms, as it was cross-sectional.",0 ## The cross-sectional design does not allow for establishing temporal order between ACEs and emotion dysregulation.,0 ## The cross-sectional design does not allow for establishing temporal order between emotion dysregulation and anxiety symptoms.,"1 ## The study discussed assumptions related to the mediation model, such as the role of psychological resilience.",0 ## The study did not report conducting sensitivity analyses to test the robustness of the mediation assumptions.,0 ## The study did not control for other post-exposure variables
27743528,Mild traumatic brain injury and suicide risk among a clinical sample of deployed military personnel: Evidence for a serial mediation model of anger and depression,Bootstrapped serial mediation analysis,0 ## The study did not use a randomized design; participants were referred for evaluation/treatment of a suspected head injury.,"0 ## The study used cross-sectional data, which limits the ability to establish causality.",0 ## The article does not mention examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of testing for interaction effects between exposure and mediator.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## The study does not mention including covariates in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline levels of the outcome.,"1 ## The study hypothesizes that mild TBI leads to increased anger, suggesting a temporal order.","1 ## The study hypothesizes that anger leads to depression, which in turn affects suicide risk, suggesting a temporal order.",0 ## The article does not discuss assumptions related to the mediation analysis.,"0 ## While sensitivity analyses were conducted, they were not specifically related to mediation assumptions.",0 ## The study does not mention controlling for other post-exposure variables.
27252674,Goodbye or Identify: Detrimental Effects of Downsizing on Identification and Survivor Performance,PROCESS for SPSS,"1 ## The study used a laboratory experiment where participants were randomly assigned to roles of employers and employees, and the decision to downsize was made by the employer, creating a randomized exposure to downsizing.","1 ## The study aimed to establish a causal link between downsizing and performance through the mediator of organizational identification, using a controlled experimental design.",0 ## The article does not explicitly discuss examining the linearity of the mediator-outcome relationship.,0 ## There is no mention of examining interactions between exposure (downsizing) and the mediator (identification) in the analysis.,1 ## The study controlled for identification in period one when examining the effect of downsizing on identification in period two.,1 ## The study controlled for performance in period one when examining the effect of downsizing on performance in period two.,1 ## The study controlled for identification in period one when examining the effect of identification on performance in period two.,1 ## The study controlled for baseline identification (period one) when analyzing the effect of downsizing on identification (period two).,1 ## The study controlled for baseline performance (period one) when analyzing the effect of downsizing on performance (period two).,"1 ## Downsizing (exposure) occurred between the two periods, before measuring identification (mediator) in period two.",1 ## Identification (mediator) was measured in period two before assessing performance (outcome) in the same period.,0 ## The article does not explicitly discuss the assumptions underlying the mediation analysis.,0 ## There is no mention of conducting a,
25998280,Brain Correlates of the Interaction Between 5-HTTLPR and Psychosocial Stress Mediating Attention Deficit Hyperactivity Disorder Severity,Mediation effect parametric mapping,"0 ## The study used observational data from a cohort, and stress exposure was assessed retrospectively, not randomized.","0 ## The study used cross-sectional data, which limits causal inference, and the authors noted the limitation of not being able to make strong causal claims.",0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,1 ## The study specifically investigated the interaction between 5-HTTLPR genotype and stress exposure on gray matter volume.,"1 ## The analysis included covariates such as age, gender, socioeconomic status, and scanner location.","1 ## The model investigating the effect of the gene-environment interaction on ADHD symptom count included covariates like age, gender, socioeconomic status, and location.","1 ## The mediation analysis included covariates such as gender, age, socioeconomic status, and scanner location.",0 ## The study did not control for baseline mediator levels as it was cross-sectional and did not have baseline measures.,0 ## The study did not control for baseline ADHD symptom count as it was cross-sectional and did not have baseline measures.,"0 ## The study was cross-sectional, so temporal ordering of exposure before mediator cannot be established.","0 ## The study was cross-sectional, so temporal ordering of mediator before outcome cannot be established.",0 ## The article does not explicitly discuss assumptions related to the mediation analysis.,"1 ## Sensitivity analyses were conducted to check for biases related to methodological choices, such as diagnosis or",
23565895,Does It Take Two to Tango? Longitudinal Effects of Unilateral and Bilateral Integrative Negotiation Training,Bootstrapping,"1 ## The study employed a one-factorial design with four between-subjects conditions, indicating random assignment to different training conditions.",1 ## The study conducted mediation analyses to identify priority-related information exchange as a mediator of the training effect on negotiation outcomes.,0 ## The article does not explicitly discuss the linearity of the mediator-outcome relationship.,0 ## There is no mention of examining interactions between exposure and mediator in the mediation analysis.,0 ## The study does not mention including covariates in the exposure-mediator model.,0 ## The study does not mention including covariates in the exposure-outcome model.,0 ## The study does not mention including covariates in the mediator-outcome model.,0 ## There is no indication that the study controlled for baseline levels of the mediator.,0 ## The study does not mention controlling for baseline outcome levels.,1 ## The training (exposure) occurred before the negotiation sessions where priority-related information exchange (mediator) was measured.,"1 ## The mediator, priority-related information exchange, was measured during negotiations, which occurred before assessing negotiation outcomes.",0 ## The study does not explicitly discuss assumptions related to the mediator in the mediation analysis.,0 ## There is no mention of conducting sensitivity analyses to test assumptions in the mediation analysis.,0 ## The study does not mention controlling for other post-exposure variables.
28968562,Mind full of life: Does mindfulness confer resilience to suicide by increasing zest for life?,Moderated mediation analyses,"0 ## The study used a prospective design with observational data, not a randomized controlled trial.",1 ## The study employed moderated mediation analyses to explore the causal pathway from mindfulness to suicidal desire through zest for life.,0 ## The article does not explicitly mention examining the linearity of the mediator-outcome relationship.,1 ## The study tested whether the indirect effect of mindfulness on suicidal desire through zest for life was moderated by levels of suicide risk factors.,0 ## The article does not mention including covariates in the exposure-mediator model.,1 ## Baseline levels of the respective outcome variables (ideation and intent) were included as statistical controls.,0 ## The article does not mention including covariates in the mediator-outcome model.,0 ## The study does not mention controlling for baseline levels of the mediator (zest for life).,1 ## The study controlled for baseline levels of suicidal ideation and intent in the analyses.,"1 ## Mindfulness was measured at baseline, before the mediator (zest for life) at follow-up.","1 ## Zest for life was measured at follow-up before assessing suicidal desire, establishing temporal order.",0 ## The article does not explicitly discuss assumptions related to the mediator.,0 ## The study does not mention conducting sensitivity analyses to test assumptions.,0 ## The study does not mention controlling for other post-exposure variables.
